Player,Team,fotmob_rating,minutes,matches,goals_per90,sot_per90,passes_per90,tackles_per90,interceptions_per90,blocks_per90,saves_per90,yellow_cards,red_cards,pens_conceded,assists_per90,big_chances_created_per90,Player_key,Team_key,Category,Score
Kyle Walker,Manchester City,7.36,2767,32,0.0,0.1,62.8,0.8,0.9,0.2,0.0,2.0,0.0,0.0,0.1301048066498012,0.2276834116371521,kyle walker,manchester city,MF,0.0007565500447515
Jérémy Doku,Manchester City,7.32,1593,29,0.17,1.1,38.2,1.2,0.5,0.0,0.0,3.0,0.0,0.0,0.4519774011299435,0.2824858757062147,jeremy doku,manchester city,MF,0.0071778313968281
Jérémy Doku,Manchester City,7.32,1593,29,0.17,1.1,38.2,1.2,0.5,0.0,0.0,3.0,0.0,0.0,0.4519774011299435,0.2824858757062147,jeremy doku,manchester city,FW,0.0031008904138352
Manuel Akanji,Manchester City,7.31,2513,30,0.07,0.2,77.1,1.0,0.8,0.4,0.0,2.0,1.0,0.0,0.0,0.0,manuel akanji,manchester city,DF,0.0092953652281029
Manuel Akanji,Manchester City,7.31,2513,30,0.07,0.2,77.1,1.0,0.8,0.4,0.0,2.0,1.0,0.0,0.0,0.0,manuel akanji,manchester city,MF,0.0019373623862876
Luis Diaz,Liverpool,7.31,2646,37,0.27,1.1,29.6,0.9,0.1,0.0,0.0,3.0,0.0,0.0,0.1700680272108843,0.1700680272108843,luis diaz,liverpool,FW,0.0225436455608051
Kai Havertz,Arsenal,7.3,2639,37,0.44,1.0,25.8,0.5,0.7,0.0,0.0,11.0,0.0,0.0,0.2387267904509283,0.2728306176582039,kai havertz,arsenal,MF,0.0050097315938192
Kai Havertz,Arsenal,7.3,2639,37,0.44,1.0,25.8,0.5,0.7,0.0,0.0,11.0,0.0,0.0,0.2387267904509283,0.2728306176582039,kai havertz,arsenal,FW,0.016057110842579
Dominik Szoboszlai,Liverpool,7.28,2109,33,0.13,0.6,52.1,0.8,0.6,0.1,0.0,1.0,0.0,0.0,0.0853485064011379,0.2987197724039829,dominik szoboszlai,liverpool,MF,0.0125038154846795
Douglas Luiz,Aston Villa,7.28,3001,35,0.27,0.5,52.9,1.1,0.7,0.2,0.0,12.0,0.0,0.0,0.1499500166611129,0.2999000333222259,douglas luiz,aston villa,MF,0.013871007278045
Nathan Aké,Manchester City,7.27,2044,29,0.09,0.2,72.3,0.7,0.6,0.1,0.0,0.0,0.0,0.0,0.0880626223091976,0.1320939334637964,nathan ake,manchester city,DF,0.0080262663174666
